strategy,n,success_count,success_rate,mean_attempt_catch_time_s,std_attempt_catch_time_s,mean_success_catch_time_s,std_success_catch_time_s,mean_success_terminal_error_m,std_success_terminal_error_m,mean_success_radial_error_m,std_success_radial_error_m,mean_success_max_abs_ddq,mean_success_max_velocity_ratio,mean_success_solve_time_s,mean_success_iter_count,mean_success_terminal_normal_alignment,min_success_tcp_table_clearance_m,min_success_frame_table_clearance_m,min_success_self_sphere_clearance_m,failure_count
earliest_nlp_feasible,50,49,0.98,1.3876000000000004,0.019749451038611903,1.3865306122448984,0.018433554143662722,0.013181126950113422,0.006932451447591626,0.011235287217899393,0.00684921687260142,1.9999478157024897,0.49687789370566027,0.03791951632633662,13.489795918367347,0.728474736244678,0.6099792534889711,0.1148,0.15948953683968092,1
latest_nlp_feasible,50,49,0.98,1.4336000000000004,0.009424241429983233,1.4334693877551024,0.009476070829586866,0.0018726268573067734,0.0016023990066054304,0.005748810997633285,0.0028444788164208403,1.6543073038570417,0.34313761120373243,0.033484585714140105,10.448979591836734,0.9869261962999677,0.44088235646499724,0.1148,0.13042307104572487,1
simple_geometric,50,0,0.0,1.2952000000000006,0.011821806208901268,,,,,,,,,,,,,,,50
smart_cost,50,49,0.98,1.4120000000000004,0.015118578920369103,1.4114285714285717,0.014719601443879758,0.0032223699567641016,0.0015812353767464989,0.005912323330095474,0.0029911276392979003,1.8088330647452906,0.36188329341095593,0.03629977755093821,12.346938775510203,0.9430455661316222,0.4505162470671013,0.1148,0.15245853062527642,1
uncertainty_guard_feasible,50,49,0.98,1.3876000000000004,0.019749451038611903,1.3865306122448984,0.018433554143662722,0.013181126950113422,0.006932451447591626,0.011235287217899393,0.00684921687260142,1.9999478157024897,0.49687789370566027,0.03791951632633662,13.489795918367347,0.728474736244678,0.6099792534889711,0.1148,0.15948953683968092,1
