strategy,n,success_count,success_rate,mean_attempt_catch_time_s,std_attempt_catch_time_s,mean_success_catch_time_s,std_success_catch_time_s,mean_success_terminal_error_m,std_success_terminal_error_m,mean_success_radial_error_m,std_success_radial_error_m,mean_success_max_abs_ddq,mean_success_max_velocity_ratio,mean_success_solve_time_s,mean_success_iter_count,mean_success_terminal_normal_alignment,min_success_tcp_table_clearance_m,min_success_frame_table_clearance_m,min_success_self_sphere_clearance_m,failure_count
earliest_nlp_feasible,20,19,0.95,1.3900000000000003,0.018918106058538324,1.387368421052632,0.015217718205053611,0.011177709323755761,0.005583979810375715,0.012634571918229504,0.00624223948939157,1.9999429861820197,0.4871576291851063,0.03737937368408127,13.631578947368421,0.755723437192179,0.6216080180212177,0.1148,0.1520408239574223,1
latest_nlp_feasible,20,19,0.95,1.4350000000000005,0.008885233166386394,1.4347368421052635,0.00904827856717729,0.0016289969444297505,0.0007512789308837419,0.008011636425418639,0.004350869672650382,1.6369534353772093,0.339737912600432,0.03196371578977912,10.31578947368421,0.9885202429289119,0.44126715224594304,0.1148,0.12944714933807172,1
simple_geometric,20,0,0.0,1.2960000000000005,0.010462967275611948,,,,,,,,,,,,,,,20
smart_cost,20,19,0.95,1.4120000000000004,0.015078740698501052,1.410526315789474,0.013933845369589332,0.0031031623139506116,0.0012138208452277454,0.008401428855368171,0.0047704151196010965,1.7882449510481928,0.355191870479784,0.035178736842154695,12.368421052631579,0.9408308486818399,0.6008696641236027,0.1148,0.1520408239574223,1
uncertainty_guard_feasible,20,19,0.95,1.3900000000000003,0.018918106058538324,1.387368421052632,0.015217718205053611,0.011177709323755761,0.005583979810375715,0.012634571918229504,0.00624223948939157,1.9999429861820197,0.4871576291851063,0.03737937368408127,13.631578947368421,0.755723437192179,0.6216080180212177,0.1148,0.1520408239574223,1
