strategy,n,success_count,success_rate,mean_attempt_catch_time_s,std_attempt_catch_time_s,mean_success_catch_time_s,std_success_catch_time_s,mean_success_terminal_error_m,std_success_terminal_error_m,mean_success_radial_error_m,std_success_radial_error_m,mean_success_max_abs_ddq,mean_success_max_velocity_ratio,mean_success_solve_time_s,mean_success_iter_count,mean_success_terminal_normal_alignment,min_success_tcp_table_clearance_m,min_success_frame_table_clearance_m,min_success_self_sphere_clearance_m,failure_count
earliest_nlp_feasible,20,19,0.95,1.3890000000000005,0.019973666874689065,1.3863157894736846,0.016401397743888015,0.01210700358908599,0.005698749681401506,0.011945133029229667,0.0063487562484684,1.9999512701011526,0.48830447917850994,0.038909210526358755,13.578947368421053,0.7366694035003905,0.6216080180212177,0.1148,0.16345807718570465,1
latest_nlp_feasible,20,19,0.95,1.4350000000000005,0.008885233166386394,1.4347368421052635,0.00904827856717729,0.0016306916616342989,0.0007550952092662433,0.006742580812454313,0.0036277214814123657,1.6365463128891211,0.33989385758396257,0.03350550526314883,10.31578947368421,0.9885388655931394,0.43973553621205913,0.1148,0.12955170788585013,1
simple_geometric,20,0,0.0,1.2960000000000005,0.010462967275611948,,,,,,,,,,,,,,,20
smart_cost,20,19,0.95,1.4340000000000004,0.009403246919632553,1.4336842105263161,0.009551338658818393,0.0015862158432021537,0.0007096354353277918,0.006767289167608489,0.003645326787856061,1.6365412253424447,0.33758880315356915,0.03337860000000977,10.31578947368421,0.9878077756311945,0.43973553621205913,0.1148,0.13958988487160284,1
uncertainty_guard_feasible,20,19,0.95,1.3890000000000005,0.019973666874689065,1.3863157894736846,0.016401397743888015,0.01210700358908599,0.005698749681401506,0.011945133029229667,0.0063487562484684,1.9999512701011526,0.48830447917850994,0.038909210526358755,13.578947368421053,0.7366694035003905,0.6216080180212177,0.1148,0.16345807718570465,1
