strategy,n,success_count,success_rate,mean_attempt_catch_time_s,std_attempt_catch_time_s,mean_success_catch_time_s,std_success_catch_time_s,mean_success_terminal_error_m,std_success_terminal_error_m,mean_success_radial_error_m,std_success_radial_error_m,mean_success_max_abs_ddq,mean_success_max_velocity_ratio,mean_success_solve_time_s,mean_success_iter_count,mean_success_terminal_normal_alignment,min_success_tcp_table_clearance_m,min_success_frame_table_clearance_m,min_success_self_sphere_clearance_m,failure_count
earliest_nlp_feasible,20,18,0.9,1.3870000000000005,0.023642067769572325,1.3811111111111116,0.016047315659301988,0.013239583229851493,0.01641088428225179,0.01602673996173017,0.007728737813911071,1.999637282791506,0.48066147772525836,0.04035384444441408,13.666666666666666,0.8234483164903341,0.6216080180212177,0.1148,0.1630236012360911,2
latest_nlp_feasible,20,18,0.9,1.4290000000000003,0.012096106376585999,1.4277777777777783,0.012153699778283724,0.0021718334835058107,0.00029024009810215437,0.016442967035476992,0.007861658164504222,1.949817943466713,0.3631960418398814,0.04085783333332276,13.833333333333334,0.5101982701743483,0.44573362984212367,0.1148,0.15597184283632487,2
simple_geometric,20,0,0.0,1.2960000000000005,0.010462967275611948,,,,,,,,,,,,,,,20
smart_cost,20,18,0.9,1.4190000000000005,0.02381949665825524,1.416666666666667,0.02400980191995126,0.0019656090545841294,0.0004104003612309368,0.015639749413580532,0.0076503166397611415,1.9349742434402406,0.3560676151366413,0.04009289444445585,13.5,0.5720436075131181,0.44573362984212367,0.1148,0.15838104448457918,2
uncertainty_guard_feasible,20,16,0.8,1.4200000000000004,0.023395906074624093,1.4150000000000005,0.023664319132398484,0.0018986009828113673,0.00041034940820500025,0.014183507374980815,0.00698514131804846,1.9551572430994812,0.3526245285483719,0.03971353750000617,13.5,0.5873674271539939,0.44573362984212367,0.1148,0.16006079950972285,4
